#identifier	index	radius_um	rel_dry_mass_pg	abs_dry_mass_pg	time	medium
cd1f2:1.1	1.3769793460728852	6.74714003479565	322.67021985730446	322.67021985730446	1520951152.0	1.335
cd1f2:2.1	1.391023390513669	5.34249553171689	252.65590543684766	252.65590543684766	1520951152.0	1.335
cd1f2:3.1	1.3751012068058532	6.2419843811395435	246.60027607521727	246.60027607521727	1520951154.0	1.335
cd1f2:4.1	1.373396360203982	6.934979179738232	326.09121501669546	326.09121501669546	1520951154.0	1.335
cd1f2:4.2	1.3720270283659717	6.887964699639162	304.4287075235721	304.4287075235721	1520951154.0	1.335
cd1f2:4.3	1.3756309543845373	6.908627465461722	336.0313807304005	336.0313807304005	1520951154.0	1.335
cd1f2:4.4	1.375028739750074	6.374068186746607	262.52595545312823	262.52595545312823	1520951154.0	1.335
cd1f2:5.1	1.3726323097747994	7.916257118131807	460.46360358501806	460.46360358501806	1520951154.0	1.335
cd1f2:5.2	1.377786417006868	6.025480852281323	240.07447088925704	240.07447088925704	1520951154.0	1.335
cd1f2:5.3	1.3775502995064155	5.365629038165368	171.6441108370306	171.6441108370306	1520951154.0	1.335
cd1f2:5.4	1.3749442432921979	6.019190759607557	222.64918061673666	222.64918061673666	1520951154.0	1.335
cd1f2:6.1	1.374485306731298	6.232898617283059	244.69093612017238	244.69093612017238	1520951156.0	1.335
cd1f2:7.1	1.338928347420868	15.789015912416005	360.35551781469576	360.35551781469576	1520951156.0	1.335
cd1f2:7.2	1.3748641391683531	6.615611629654024	289.10808221131515	289.10808221131515	1520951156.0	1.335
cd1f2:8.1	1.3758195243406186	6.643156659410526	303.56599932206797	303.56599932206797	1520951156.0	1.335
cd1f2:8.2	1.372708360075859	7.661503289712133	417.35353199471854	417.35353199471854	1520951156.0	1.335
cd1f2:8.3	1.3725283553526886	6.706557777971882	282.62898415809116	282.62898415809116	1520951156.0	1.335
cd1f2:9.1	1.3737441256287322	6.625127471845078	285.54838499812234	285.54838499812234	1520951158.0	1.335
cd1f2:9.2	1.3733530547644832	6.072628700346809	217.58784654676128	217.58784654676128	1520951158.0	1.335
cd1f2:10.1	1.3733867093747751	6.905829748643863	320.5315211959123	320.5315211959123	1520951158.0	1.335
cd1f2:10.2	1.3723344782451505	6.671271714343444	283.16806579013684	283.16806579013684	1520951158.0	1.335
cd1f2:10.3	1.3737352751184235	6.3359228253246895	251.1747472325807	251.1747472325807	1520951158.0	1.335
cd1f2:10.4	1.3774117928060914	5.45418073173112	180.3900409355185	180.3900409355185	1520951158.0	1.335
cd1f2:10.5	1.3767882424538203	6.672251613955305	313.55954940059326	313.55954940059326	1520951158.0	1.335
cd1f2:10.6	1.3445598950497588	10.344484005493378	247.078951407979	247.078951407979	1520951158.0	1.335
cd1f2:11.1	1.3771366079923	6.687629661893946	321.67491902787555	321.67491902787555	1520951158.0	1.335
cd1f2:11.2	1.3786150471679017	5.812332646190597	223.4289969739374	223.4289969739374	1520951158.0	1.335
cd1f2:11.3	1.3757108164908514	6.42274569739762	273.9117579607538	273.9117579607538	1520951158.0	1.335
cd1f2:12.1	1.3678056246121686	5.732259794129661	163.50565749860584	163.50565749860584	1520951160.0	1.335
cd1f2:13.1	1.3728762921976188	6.227179657265366	226.6219741185501	226.6219741185501	1520951160.0	1.335
cd1f2:13.2	1.3726881951962502	6.160588671994635	221.9948536632219	221.9948536632219	1520951160.0	1.335
cd1f2:13.3	1.3748823447147756	5.795381553554126	196.77453035808995	196.77453035808995	1520951160.0	1.335
cd1f2:14.1	1.3759532054373917	6.1414442895450305	238.58243162203524	238.58243162203524	1520951160.0	1.335
cd1f2:14.2	1.3775147240119225	5.855861973658845	213.20056855100077	213.20056855100077	1520951160.0	1.335
cd1f2:15.1	1.3388535070730982	15.009794108022366	300.716382393261	300.716382393261	1520951160.0	1.335
cd1f2:15.2	1.37372673281022	5.940107783425692	205.38599601272003	205.38599601272003	1520951160.0	1.335
cd1f2:16.1	1.3736365120335947	7.197343361731164	357.5251408956156	357.5251408956156	1520951162.0	1.335
cd1f2:16.2	1.3706486111377802	7.576140677546219	377.3093782571886	377.3093782571886	1520951162.0	1.335
cd1f2:17.1	1.3756875836018767	6.655994516647463	295.2462598331995	295.2462598331995	1520951162.0	1.335
cd1f2:17.2	1.3730370961682743	6.585200300846235	271.85864062094726	271.85864062094726	1520951162.0	1.335
cd1f2:18.1	1.3740451253759662	6.861285851078391	316.82583925545305	316.82583925545305	1520951162.0	1.335
cd1f2:19.1	1.3756453556130739	5.99145697024714	223.5988227877511	223.5988227877511	1520951164.0	1.335
cd1f2:19.2	1.3778109329475288	6.5169444380554316	294.49706859822345	294.49706859822345	1520951164.0	1.335
cd1f2:20.1	1.374093349295515	6.94235716952169	328.2022938804658	328.2022938804658	1520951164.0	1.335
cd1f2:21.1	1.3732016455687686	6.273358605209343	239.54573914996874	239.54573914996874	1520951164.0	1.335
cd1f2:21.2	1.3751033256148526	5.788297415821723	200.68730188733394	200.68730188733394	1520951164.0	1.335
cd1f2:21.3	1.375956294618315	5.550448724309749	184.51764965447578	184.51764965447578	1520951164.0	1.335
cd1f2:22.1	1.3731636731172134	6.595248992129262	274.08203513693	274.08203513693	1520951166.0	1.335
cd1f2:22.2	1.3726751318487675	6.112787687830887	218.320666438415	218.320666438415	1520951166.0	1.335
cd1f2:22.3	1.373994978292469	6.5945191603359845	281.2282875595726	281.2282875595726	1520951166.0	1.335
cd1f2:23.1	1.376160882722108	5.539537219640022	179.75740900809882	179.75740900809882	1520951166.0	1.335
cd1f2:23.2	1.3679408730470444	8.126494248888475	432.7572895525582	432.7572895525582	1520951166.0	1.335
cd1f2:24.1	1.3740396073681362	6.613007556067015	279.49764901267736	279.49764901267736	1520951166.0	1.335
cd1f2:25.1	1.3739718797978548	6.224552215792591	234.04264026429095	234.04264026429095	1520951168.0	1.335
cd1f2:25.2	1.3765456233343307	5.741605482116278	201.35702764019473	201.35702764019473	1520951168.0	1.335
cd1f2:25.3	1.3674129178661258	7.333675858159506	314.9252605958936	314.9252605958936	1520951168.0	1.335
cd1f2:26.1	1.3756982400160522	6.54497606139307	284.16652232139154	284.16652232139154	1520951168.0	1.335
cd1f2:26.2	1.3741168023277408	6.389808476411802	258.66670814415096	258.66670814415096	1520951168.0	1.335
cd1f2:26.3	1.374345292240987	6.428228938824434	260.3613404081521	260.3613404081521	1520951168.0	1.335
cd1f2:28.1	1.3719462932378486	6.673910367247418	276.0702297060578	276.0702297060578	1520951168.0	1.335
cd1f2:28.2	1.3740468072344636	6.052685219490508	218.0783846164287	218.0783846164287	1520951168.0	1.335
cd1f2:28.3	1.3749184089492112	7.038571854226526	345.1522577472101	345.1522577472101	1520951168.0	1.335
cd1f2:29.1	1.3775401108423224	5.442748893199036	177.00246406562528	177.00246406562528	1520951170.0	1.335
cd1f2:29.2	1.3755614715111393	5.800847613470343	201.60856809990176	201.60856809990176	1520951170.0	1.335
cd1f2:29.3	1.3764324642721908	5.961135525198895	223.81579264698132	223.81579264698132	1520951170.0	1.335
cd1f2:30.1	1.3750107393126998	5.4519698658494455	166.52437473250444	166.52437473250444	1520951170.0	1.335
cd1f2:31.1	1.377451632924921	6.349565829730754	273.21506477263324	273.21506477263324	1520951170.0	1.335
cd1f2:31.2	1.375095591364025	6.343513106441123	257.0528336218846	257.0528336218846	1520951170.0	1.335
cd1f2:32.1	1.375571928145217	5.977363680866165	217.9182511599692	217.9182511599692	1520951172.0	1.335
cd1f2:33.1	1.3768128700704276	5.520072288099036	180.2297500878277	180.2297500878277	1520951172.0	1.335
cd1f2:34.1	1.377633931258532	6.2459444032023415	262.6101097028283	262.6101097028283	1520951172.0	1.335
cd1f2:34.2	1.3766508063302678	6.666175240203559	305.7843042957413	305.7843042957413	1520951172.0	1.335
cd1f2:34.3	1.3737311112857544	6.305150726759893	242.46146176823075	242.46146176823075	1520951172.0	1.335
cd1f2:35.1	1.3737931980381073	6.193664541172875	229.02926651080728	229.02926651080728	1520951174.0	1.335
cd1f2:35.3	1.3770153174941295	5.932228086094638	222.52388498668137	222.52388498668137	1520951174.0	1.335
cd1f2:35.4	1.3774614484787868	5.420153581749867	172.36195359178296	172.36195359178296	1520951174.0	1.335
cd1f2:36.1	1.3745888441005798	6.568539696371576	279.877178970543	279.877178970543	1520951174.0	1.335
cd1f2:37.1	1.3756999696348897	6.106630052890228	235.19385151557705	235.19385151557705	1520951174.0	1.335
cd1f2:37.2	1.3728168440749708	7.227211874218055	353.0938864702245	353.0938864702245	1520951174.0	1.335
cd1f2:37.3	1.3769332111438093	5.649460585285483	193.50510030677813	193.50510030677813	1520951174.0	1.335
cd1f2:38.1	1.375226541668771	6.872088350532963	328.45680220682374	328.45680220682374	1520951176.0	1.335
cd1f2:39.1	1.3778472389717686	8.09252641100052	559.0144497270967	559.0144497270967	1520951176.0	1.335
cd1f2:40.1	1.374058654734648	5.494263551552059	167.97384625942786	167.97384625942786	1520951176.0	1.335
cd1f2:40.2	1.3745079638316309	6.161341058798701	233.59737832298504	233.59737832298504	1520951176.0	1.335
cd1f2:41.1	1.364075878246175	6.538374329083283	204.82780004216232	204.82780004216232	1520951178.0	1.335
cd1f2:41.2	1.3745933982290524	6.9626381521542795	334.803124925684	334.803124925684	1520951178.0	1.335
cd1f2:41.3	1.3745778310391248	5.865805665645063	206.1502532093517	206.1502532093517	1520951178.0	1.335
