#identifier	index	radius_um	rel_dry_mass_pg	abs_dry_mass_pg	time	medium
cd1f2:1.1	1.3701348874740455	7.207338988255895	322.7695748916205	322.7695748916205	1520951152.0	1.335
cd1f2:2.1	1.3702734227772204	7.070095988984039	306.75947543141154	306.75947543141154	1520951152.0	1.335
cd1f2:3.1	1.3673642891884195	6.777980866041744	246.51394051016266	246.51394051016266	1520951154.0	1.335
cd1f2:4.1	1.3656962205761178	7.583248972626807	327.03404134989825	327.03404134989825	1520951154.0	1.335
cd1f2:4.2	1.3653963730145653	7.43638145425717	304.37725645229256	304.37725645229256	1520951154.0	1.335
cd1f2:4.3	1.3686088655289488	7.416449131061558	335.8920197081439	335.8920197081439	1520951154.0	1.335
cd1f2:4.4	1.3671970297989728	6.938727488072529	265.25452372440225	265.25452372440225	1520951154.0	1.335
cd1f2:5.1	1.367672616774588	8.32605249340466	460.8140994929243	460.8140994929243	1520951154.0	1.335
cd1f2:5.2	1.368566409211638	6.640309129463833	239.99696396700148	239.99696396700148	1520951154.0	1.335
cd1f2:5.3	1.3673983530480907	6.015919948769107	172.28829897498176	172.28829897498176	1520951154.0	1.335
cd1f2:5.4	1.3672538910170562	6.558955148376714	223.35920961643794	223.35920961643794	1520951154.0	1.335
cd1f2:6.1	1.3664594889500452	6.835863809607179	244.70224250306165	244.70224250306165	1520951156.0	1.335
cd1f2:7.1	1.3642747281711598	7.94921174775238	360.059435083486	360.059435083486	1520951156.0	1.335
cd1f2:7.2	1.3678120862882994	7.118973384084221	289.0581778549236	289.0581778549236	1520951156.0	1.335
cd1f2:8.1	1.3682546016231452	7.203673002548288	303.521858613621	303.521858613621	1520951156.0	1.335
cd1f2:8.2	1.3667856883030747	8.136183384835602	416.5051550180137	416.5051550180137	1520951156.0	1.335
cd1f2:8.3	1.3659404973206672	7.202259874604585	282.2438582070948	282.2438582070948	1520951156.0	1.335
cd1f2:9.1	1.365932130732939	7.233631027683021	286.0400361974883	286.0400361974883	1520951158.0	1.335
cd1f2:9.2	1.3658387741978548	6.612234565839582	217.22950178778996	217.22950178778996	1520951158.0	1.335
cd1f2:10.1	1.3651878089485323	7.56732566886043	319.4203365670584	319.4203365670584	1520951158.0	1.335
cd1f2:10.2	1.365131358801113	7.283107095754017	282.94932804024165	282.94932804024165	1520951158.0	1.335
cd1f2:10.3	1.365725072845293	6.949715349028019	250.6170876480392	250.6170876480392	1520951158.0	1.335
cd1f2:10.4	1.3671430679717904	6.136694380362147	181.85349483542848	181.85349483542848	1520951158.0	1.335
cd1f2:10.5	1.368612281973725	7.263326077582868	314.3273317971952	314.3273317971952	1520951158.0	1.335
cd1f2:10.6	1.3670464307972372	6.774512623162784	244.71287048116096	244.71287048116096	1520951158.0	1.335
cd1f2:11.1	1.3687321867242703	7.310960361358516	322.49915769885536	322.49915769885536	1520951158.0	1.335
cd1f2:11.2	1.368256473465525	6.508864900802025	223.83785209290164	223.83785209290164	1520951158.0	1.335
cd1f2:11.3	1.3672367715365052	7.036222630178942	274.0229356279199	274.0229356279199	1520951158.0	1.335
cd1f2:12.1	1.3594392988788755	6.529012751927849	164.99715511204826	164.99715511204826	1520951160.0	1.335
cd1f2:13.1	1.3672566031922113	6.596072365222932	226.85971256199383	226.85971256199383	1520951160.0	1.335
cd1f2:13.2	1.36585720981693	6.652766136550727	223.0137500323773	223.0137500323773	1520951160.0	1.335
cd1f2:13.3	1.3671659780199605	6.294603279770611	198.49699431426563	198.49699431426563	1520951160.0	1.335
cd1f2:14.1	1.3683523795369195	6.6337611551471465	238.64535747962705	238.64535747962705	1520951160.0	1.335
cd1f2:14.2	1.370224835193574	6.274365152754573	212.4488136111724	212.4488136111724	1520951160.0	1.335
cd1f2:15.1	1.3697318267936294	7.108238772216304	304.96335098567306	304.96335098567306	1520951160.0	1.335
cd1f2:15.2	1.3664444232709074	6.444532697099747	204.93513164330128	204.93513164330128	1520951160.0	1.335
cd1f2:16.1	1.3678725323851046	7.637398322706574	358.25398408743695	358.25398408743695	1520951162.0	1.335
cd1f2:16.2	1.3662894059714756	7.913773033828168	377.24023215208194	377.24023215208194	1520951162.0	1.335
cd1f2:17.1	1.3699382511363942	7.021350737398221	295.38536958865114	295.38536958865114	1520951162.0	1.335
cd1f2:17.2	1.3666648489433444	7.046880104546869	273.9504330959871	273.9504330959871	1520951162.0	1.335
cd1f2:18.1	1.3672440587004244	7.3712210902821775	318.6540132064203	318.6540132064203	1520951162.0	1.335
cd1f2:19.1	1.3672732959514682	6.571879364239833	224.41110113070621	224.41110113070621	1520951164.0	1.335
cd1f2:19.2	1.3711798917029387	6.922482556619206	294.9885035137433	294.9885035137433	1520951164.0	1.335
cd1f2:20.1	1.3669758101574727	7.4922748637922245	328.1833149225515	328.1833149225515	1520951164.0	1.335
cd1f2:21.1	1.365623601746703	6.846143521337154	239.67878053081884	239.67878053081884	1520951164.0	1.335
cd1f2:21.2	1.365840329209248	6.441053782008139	200.37192522172012	200.37192522172012	1520951164.0	1.335
cd1f2:21.3	1.3655725384012258	6.286486489924737	185.90597465138512	185.90597465138512	1520951164.0	1.335
cd1f2:22.1	1.3665472537017833	7.086308292086713	273.6634851581184	273.6634851581184	1520951166.0	1.335
