#identifier	index	radius_um	rel_dry_mass_pg	abs_dry_mass_pg	time	medium
cd1f2:1.1	1.369245107856196	7.359516331431993	322.7082695159347	322.7082695159347	1520951152.0	1.335
cd1f2:2.1	1.3692991029422001	7.226886618719209	306.72830199125923	306.72830199125923	1520951152.0	1.335
cd1f2:3.1	1.3666123915608095	6.9102837958593755	246.5100750016893	246.5100750016893	1520951154.0	1.335
cd1f2:4.1	1.3650806267576305	7.717991095276608	327.20847710123707	327.20847710123707	1520951154.0	1.335
cd1f2:4.2	1.3648127948501012	7.562723198068486	304.28516329233213	304.28516329233213	1520951154.0	1.335
cd1f2:4.3	1.367924322275731	7.550679257088871	335.7678222539395	335.7678222539395	1520951154.0	1.335
cd1f2:4.4	1.3669359728006025	7.0218675078996595	265.49002169709945	265.49002169709945	1520951154.0	1.335
cd1f2:5.1	1.3669772371374451	8.478784628020792	460.9082241914315	460.9082241914315	1520951154.0	1.335
cd1f2:5.2	1.367950191792789	6.7524682159804845	239.90390452999188	239.90390452999188	1520951154.0	1.335
cd1f2:5.3	1.366866474304261	6.112151339127506	172.1372892752272	172.1372892752272	1520951154.0	1.335
cd1f2:5.4	1.3665320724901722	6.683264522759912	223.37852820299602	223.37852820299602	1520951154.0	1.335
cd1f2:6.1	1.3658049770721625	6.959505548482633	244.6961839398218	244.6961839398218	1520951156.0	1.335
cd1f2:7.1	1.3637623350293078	8.076853928022585	360.14212080974846	360.14212080974846	1520951156.0	1.335
cd1f2:7.2	1.367086298971919	7.2529035651736855	288.95741475422494	288.95741475422494	1520951156.0	1.335
cd1f2:8.1	1.3675114200658567	7.341771232017012	303.5953008423987	303.5953008423987	1520951156.0	1.335
cd1f2:8.2	1.3661708780844464	8.277754641275939	416.28637830989294	416.28637830989294	1520951156.0	1.335
cd1f2:8.3	1.3651756531219035	7.346232174729525	282.06914285791834	282.06914285791834	1520951156.0	1.335
cd1f2:9.1	1.3653636028025173	7.354251555023679	286.1086473954636	286.1086473954636	1520951158.0	1.335
cd1f2:9.2	1.3652551407557865	6.725271268549842	217.04505062221278	217.04505062221278	1520951158.0	1.335
cd1f2:10.1	1.364906167330837	7.6883653478787775	319.3076356027174	319.3076356027174	1520951158.0	1.335
cd1f2:10.2	1.3644617730499773	7.418164091057981	282.70882054390256	282.70882054390256	1520951158.0	1.335
cd1f2:10.3	1.3651566747864894	7.065931324764273	250.44950114386407	250.44950114386407	1520951158.0	1.335
cd1f2:10.4	1.3664169965188602	6.253040355210216	181.86846793289652	181.86846793289652	1520951158.0	1.335
cd1f2:10.5	1.3683851719603892	7.346729222757308	314.55392659313276	314.55392659313276	1520951158.0	1.335
cd1f2:10.6	1.3665164800933922	6.882736165068084	244.94862011177315	244.94862011177315	1520951158.0	1.335
cd1f2:11.1	1.3681138778026443	7.43635341751903	322.69116757602245	322.69116757602245	1520951158.0	1.335
cd1f2:11.2	1.3674149875011445	6.643117149423275	223.63598983326744	223.63598983326744	1520951158.0	1.335
cd1f2:11.3	1.3665730082241545	7.162757701662996	274.0269732461948	274.0269732461948	1520951158.0	1.335
cd1f2:12.1	1.3590515150009865	6.623252349086772	164.80419826583412	164.80419826583412	1520951160.0	1.335
cd1f2:13.1	1.366433205535741	6.731445836033051	226.68190775830834	226.68190775830834	1520951160.0	1.335
cd1f2:13.2	1.3653041765178544	6.763254955124544	223.01620177892826	223.01620177892826	1520951160.0	1.335
cd1f2:13.3	1.3665265599932828	6.40641634778755	198.78881755475862	198.78881755475862	1520951160.0	1.335
cd1f2:14.1	1.3675845069349681	6.76309863678838	238.4519914681559	238.4519914681559	1520951160.0	1.335
cd1f2:14.2	1.3693930253759494	6.400075233167359	212.0284696014904	212.0284696014904	1520951160.0	1.335
cd1f2:15.1	1.3688605991075373	7.256093401677115	305.22800367188484	305.22800367188484	1520951160.0	1.335
cd1f2:15.2	1.3657498677368105	6.564787596519643	204.75300359490868	204.75300359490868	1520951160.0	1.335
cd1f2:16.1	1.3670851034713765	7.778215910218709	358.31094169459453	358.31094169459453	1520951162.0	1.335
cd1f2:16.2	1.3656113073900504	8.06097250623158	376.95999023260646	376.95999023260646	1520951162.0	1.335
cd1f2:17.1	1.3694738819757206	7.128063692964036	295.26070547907113	295.26070547907113	1520951162.0	1.335
cd1f2:17.2	1.3659774938087816	7.179299893205189	274.26418327860034	274.26418327860034	1520951162.0	1.335
cd1f2:18.1	1.3665119625996247	7.513853798871173	318.7114045668224	318.7114045668224	1520951162.0	1.335
cd1f2:19.1	1.3666547796703994	6.685033239085532	224.4089078406625	224.4089078406625	1520951164.0	1.335
cd1f2:19.2	1.37026085265325	7.068582533831047	294.94864150012654	294.94864150012654	1520951164.0	1.335
cd1f2:20.1	1.3662853026291553	7.630933356172618	328.2768539842066	328.2768539842066	1520951164.0	1.335
cd1f2:21.1	1.3651253194131974	6.951835976098831	239.57726705802932	239.57726705802932	1520951164.0	1.335
cd1f2:21.2	1.365219163567931	6.554303079274218	200.16847136426662	200.16847136426662	1520951164.0	1.335
cd1f2:21.3	1.3647934784492475	6.413181515153549	185.81827886370445	185.81827886370445	1520951164.0	1.335
cd1f2:22.1	1.366007984407736	7.202800461784647	273.477548620817	273.477548620817	1520951166.0	1.335
cd1f2:22.2	1.3647101175611747	6.772237881327861	217.72529222987197	217.72529222987197	1520951166.0	1.335
cd1f2:22.3	1.3662807543259152	7.245011131858257	281.4912660565269	281.4912660565269	1520951166.0	1.335
cd1f2:23.1	1.3667430937949294	6.204883809607656	180.45209335580435	180.45209335580435	1520951166.0	1.335
cd1f2:23.2	1.3632056225465317	8.666420293413811	433.5678119337042	433.5678119337042	1520951166.0	1.335
cd1f2:24.1	1.3670803730112076	7.173675587994436	279.75137561855894	279.75137561855894	1520951166.0	1.335
cd1f2:25.1	1.3665799308579352	6.794572350771424	234.5299335507124	234.5299335507124	1520951168.0	1.335
cd1f2:25.2	1.36717527894099	6.418740476474558	202.25862451995252	202.25862451995252	1520951168.0	1.335
cd1f2:25.3	1.3622162815778067	7.882705124171178	315.36787105259	315.36787105259	1520951168.0	1.335
cd1f2:26.1	1.3682221502739729	7.122107782024061	285.4649602908486	285.4649602908486	1520951168.0	1.335
cd1f2:26.2	1.366006443584244	7.056571100037381	260.3777694463148	260.3777694463148	1520951168.0	1.335
cd1f2:26.3	1.3674277911323136	6.974977758892926	261.56508120707457	261.56508120707457	1520951168.0	1.335
cd1f2:28.1	1.3645068358222927	7.34039462267226	276.2548311434414	276.2548311434414	1520951168.0	1.335
cd1f2:28.2	1.3659721821514672	6.674401255622956	217.52810171231408	217.52810171231408	1520951168.0	1.335
cd1f2:28.3	1.367704892114639	7.643927286797912	344.99986081379313	344.99986081379313	1520951168.0	1.335
cd1f2:29.1	1.3671362793863198	6.160067701134236	176.88027361697996	176.88027361697996	1520951170.0	1.335
cd1f2:29.2	1.36667762747908	6.456595604558295	201.7575718940942	201.7575718940942	1520951170.0	1.335
cd1f2:29.3	1.3670763833455088	6.654441504760069	224.46115733251108	224.46115733251108	1520951170.0	1.335
cd1f2:30.1	1.3660518129013781	6.100872800969569	166.85152278333226	166.85152278333226	1520951170.0	1.335
cd1f2:31.1	1.3688344128719552	6.986247838201038	274.0144511268076	274.0144511268076	1520951170.0	1.335
cd1f2:31.2	1.3669566221387734	6.983035759291573	257.4411280789769	257.4411280789769	1520951170.0	1.335
cd1f2:32.1	1.367556767340442	6.565354347299195	217.6349863541339	217.6349863541339	1520951172.0	1.335
cd1f2:33.1	1.3669732109723323	6.204081245537396	180.215015766088	180.215015766088	1520951172.0	1.335
cd1f2:34.1	1.3694083629994134	6.850171633512134	265.0676934426287	265.0676934426287	1520951172.0	1.335
cd1f2:34.2	1.3694298241458358	7.212330630127847	307.17818427422804	307.17818427422804	1520951172.0	1.335
cd1f2:34.3	1.3664058793686662	6.882551757987635	242.71649255494899	242.71649255494899	1520951172.0	1.335
cd1f2:35.1	1.3669622218618318	6.722145700392518	228.93063118005585	228.93063118005585	1520951174.0	1.335
cd1f2:35.3	1.3680299764974229	6.577841496007927	223.4119047139983	223.4119047139983	1520951174.0	1.335
cd1f2:35.4	1.3682883909949184	6.021083652769961	173.39197053295277	173.39197053295277	1520951174.0	1.335
cd1f2:36.1	1.3675209444880576	7.134362273477499	280.64747062520354	280.64747062520354	1520951174.0	1.335
cd1f2:37.1	1.3670512260874752	6.767075368393028	234.26750253351094	234.26750253351094	1520951174.0	1.335
cd1f2:37.2	1.3663633174230465	7.81638675526844	352.6231257908806	352.6231257908806	1520951174.0	1.335
cd1f2:37.3	1.3678286905720967	6.289630439650714	194.74700115742826	194.74700115742826	1520951174.0	1.335
cd1f2:38.1	1.3667549194423316	7.5910432459012185	328.0154850409942	328.0154850409942	1520951176.0	1.335
cd1f2:39.1	1.371478369483302	8.653285713936697	559.232647182931	559.232647182931	1520951176.0	1.335
cd1f2:40.1	1.3643576736402274	6.234794725891683	167.67261650801208	167.67261650801208	1520951176.0	1.335
cd1f2:40.2	1.3660266346395142	6.826029211065845	233.8213068240764	233.8213068240764	1520951176.0	1.335
cd1f2:41.1	1.3583002078662962	7.188658297682328	204.4099176973372	204.4099176973372	1520951178.0	1.335
cd1f2:41.2	1.366750032112482	7.639981754999722	335.266923163212	335.266923163212	1520951178.0	1.335
cd1f2:41.3	1.3651996058581148	6.602219311712458	208.97559914568262	208.97559914568262	1520951178.0	1.335
