#identifier	index	radius_um	rel_dry_mass_pg	abs_dry_mass_pg	time	medium
cd1f2:1.1	1.3688458477712646	7.355849407500039	322.70199236802176	322.70199236802176	1520951152.0	1.335
cd1f2:2.1	1.3690098517411784	7.212368967817805	306.75169583737704	306.75169583737704	1520951152.0	1.335
cd1f2:3.1	1.366143817676937	6.9204609443068845	246.5075095398974	246.5075095398974	1520951154.0	1.335
cd1f2:4.1	1.36468414260335	7.7264713687300945	327.2168678688586	327.2168678688586	1520951154.0	1.335
cd1f2:4.2	1.3644706973054157	7.565530792375405	304.2751952268517	304.2751952268517	1520951154.0	1.335
cd1f2:4.3	1.3674826814672036	7.556311290348757	335.75800596359477	335.75800596359477	1520951154.0	1.335
cd1f2:4.4	1.36634859455427	7.046116680349239	265.51499355301854	265.51499355301854	1520951154.0	1.335
cd1f2:5.1	1.3665886426343359	8.482011363259161	460.8923479322952	460.8923479322952	1520951154.0	1.335
cd1f2:5.2	1.3674734952989624	6.762292369543985	239.90637889675799	239.90637889675799	1520951154.0	1.335
cd1f2:5.3	1.366357720723206	6.125273801449104	172.10246120518488	172.10246120518488	1520951154.0	1.335
cd1f2:5.4	1.3661955856580916	6.680811048265508	223.39091238429262	223.39091238429262	1520951154.0	1.335
cd1f2:6.1	1.365493815687595	6.956118103581936	244.69447873065005	244.69447873065005	1520951156.0	1.335
cd1f2:7.1	1.363403659830011	8.086507538295123	360.1274372070351	360.1274372070351	1520951156.0	1.335
cd1f2:7.2	1.3665446666462622	7.273577351516354	288.9184881046874	288.9184881046874	1520951156.0	1.335
cd1f2:8.1	1.3672119289905318	7.332745203947162	303.58898409153966	303.58898409153966	1520951156.0	1.335
cd1f2:8.2	1.3657814982793153	8.281918501759478	416.2697205945851	416.2697205945851	1520951156.0	1.335
cd1f2:8.3	1.3648187258291469	7.348054608908321	282.05717229992194	282.05717229992194	1520951156.0	1.335
cd1f2:9.1	1.3651951500823922	7.334448184863273	286.07197317913943	286.07197317913943	1520951158.0	1.335
cd1f2:9.2	1.3649320579574986	6.722796012286113	217.04915774501774	217.04915774501774	1520951158.0	1.335
cd1f2:10.1	1.36460366337109	7.68648876370795	319.31778091131866	319.31778091131866	1520951158.0	1.335
cd1f2:10.2	1.3642588682769066	7.40366132646158	282.7332493557684	282.7332493557684	1520951158.0	1.335
cd1f2:10.3	1.3648514239771328	7.062487888446163	250.4532558245884	250.4532558245884	1520951158.0	1.335
cd1f2:10.4	1.3659790486583623	6.26045092685659	181.87595965161628	181.87595965161628	1520951158.0	1.335
cd1f2:10.5	1.3674767319070453	7.404748802009094	314.73534301071624	314.73534301071624	1520951158.0	1.335
cd1f2:10.6	1.3661943531949763	6.878519663435408	244.9629906736858	244.9629906736858	1520951158.0	1.335
cd1f2:11.1	1.3675757200375256	7.452709033539964	322.71639025263664	322.71639025263664	1520951158.0	1.335
cd1f2:11.2	1.3670001704764496	6.646276025861422	223.62596023823502	223.62596023823502	1520951158.0	1.335
cd1f2:11.3	1.3663075028992142	7.15228583367811	274.00425954347327	274.00425954347327	1520951158.0	1.335
