latin_name;indicator_value
Aphanocapsa spp.;7.24
Aphanocapsae grevielli/pulchra;7.24
Aphanocapsae grevillei;7.24
Aphanocapsae pulcra;7.24
Aphanothece spp.;7.83
Aphanothece caldariorum;7.83
Aphanothece clatratha;7.83
Aphanothece fonticola;7.83
Aphanothece microspora;7.83
Aphanothece stagnina;7.83
Aphanothece stagnina;7.83
Audouinella chalybaea;49.42
Audouinella hermannii;21.25
Audouinella pygmaea;36.81
Batrachospermum gelatinosum;7.06
Barachospermum keratophytum;3.80
Batrachospermum spp.;7.68
Batrachospermum atrum;7.68
Batrachospermum boryanum;7.68
Batrachospermum confusum;7.68
Batrachospermum confusum f. anatinum;7.68
Batrachospermum ectocarpum;7.68
Batrachospermum globosporum;7.68
Batrachospermum helminthosum;7.68
Batrachospermum moniliforme;7.68
Batrachospermum moniliforme "f. minor";7.68
Batrachospermum skujae;7.68
Batrachospermum vagum;7.68
Batrachospermum turfosum;5.37
Binuclearia tectorum;3.72
Bulbochaete spp.;4.65
Bulbochaete intermedia var depressa;4.65
Bulbochaete intermmedia;4.65
Bulbochaete norwegia var depressa;4.65
Bulbochaete sp1 ( 75x25u, porer);4.65
Calothrix spp.;5.21
Calothrix braunii;5.21
Calothrix elenkinii;5.21
Calothrix epiphytica;5.21
Calothrix fusca;5.21
Calothrix gypsophila;5.21
Calothrix gypsophila (orsinianatype);5.21
Calothrix parietina;5.21
Calothrix ramenskii;5.21
Calothrix sp1 (tri:6-9u/trå:12-13u/løk);5.21
Calothrix sp2 (blåg 3-5u,farget skjede);5.21
Capsosira brebissonii;3.98
Chaetophora elegans;5.91
Chamaesiphon confervicola;6.61
Chamaesiphon fuscus;5.09
Chamaesiphon incrustans;20.38
Chamaesiphon minutus;3.47
Chamaesiphon polymorphus;16.11
Chamaesiphon rostafinskii;4.37
Chlorogloea spp.;6.69
Chlorogloea microcystoides;6.69
Chlorogloea purpurea;6.69
Chroococcus spp.;3.57
Chroococcus minutus;3.57
Chroococcus sp. (15-18u);3.57
Chroococcus turgidus;3.57
Tolypothrix spp.;5.72
Cladophora spp.;47.00
Cladophora aegrophila;47.00
Cladophora glomerata;47.00
Cladophora rivularis;47.00
Clastidium setigerum;4.76
Coleochaete spp.;4.47
Coleochaete orbicularis;4.47
Coleochaete pulvinata;4.47
Coleochaete scutata;4.47
Coleochaete scutata f. lobata;4.47
Coleochaete scutata f. minor;4.47
Coleodesmium sagarmathae;4.82
Cosmarium spp.;5.14
Cosmarium reniforme;5.14
Cosmarium sphagnicola;5.14
Cosmarium subcostatum;5.14
Cosmarium undulatum;5.14
Cyanophanon mirabile;4.39
Dichothrix gypsophila;4.20
Dichothrix orsiniana;4.42
Dichothrix spp.;4.55
Dichothrix baueriana;4.55
Dichothrix ramenskii;4.55
Dichotrix compacta;4.55
Draparnaldia spp.;6.07
Draparnaldia glomerata;6.07
Draparnaldia glomerata (plumosatype);6.07
Draparnaldia mutabilis;6.07
Entophysalis spp.;4.31
Euastrum spp.;5.47
Euastrum ansatum;5.47
Euastrum bidentatum;5.47
Euastrum binale;5.47
Euastrum denticulatum;5.47
Euastrum elegans;5.47
Euastrum oblongum;5.47
Euastrum pectinatum;5.47
Euastrum pinnatum;5.47
Euastrum verrucosum;5.47
Geitlerinema acutissimum;24.22
Geitlerinema splendidum;43.42
Gloeocapsa sanguinea;2.74
Gloeocapsa spp.;3.20
Gloeocapsa atrata;3.20
Gloeocapsa dermochora;3.20
Gloeocapsa granosa;3.20
Gloeocapsa kuetzingiana;3.20
Gloeocapsopsis magma;2.74
Gongrosira spp.;6.20
Gongrosira burmanica;6.20
Gongrosira fluminensis;6.20
Gongrosira incrustans;6.20
Gongrosira lacustris;6.20
Gongrosira prostrata;6.20
Gongrosira pygmaea;6.20
Gongrosira Sp1 (opprette grener);6.20
Hapalosiphon hibernicus;2.88
Heribaudiella fluviatilis;4.98
Heteroleibleinia kuetzingii;5.32
Heteroleibleinia leptonema;5.66
Heteroleibleinia spp.;7.98
Heteroleibleinia kossinskajae;7.98
Heteroleibleinia pusilla;7.98
Homoeothrix  grenet (gulbrun hul skjede);1.96
Homoeothrix batrachospermorum;3.71
Homoeothrix janthina;12.53
Homoeothrix nordstedtii;3.30
Homoeothrix varians;6.14
Hydrococcus rivularis;8.50
Hydrurus foetidus;5.97
Klebshormidium flaccidum;4.87
Klebsormidium rivulare;4.00
Lemanea fluviatilis;6.98
Lemanea spp.;8.88
Lemanea borealis;8.88
Lemanea condensata;8.88
Lemanea fluviatiis (90-110u);6.98
Lemanea fluviatilis (150u);6.98
Lemanea fluviatilis (50-60u);6.98
Lemanea fucina;8.88
Leptolyngbya crassior;3.82
Leptolyngbya perelegans;4.96
Leptolyngbya spp.;7.83
Leptolyngbya angusta;7.83
Leptolyngbya batrachosperma;7.83
Leptolyngbya benthonica;7.83
Leptolyngbya foveolara;7.83
Leptolyngbya gloeophila;7.83
Leptomitus lacteus;22.97
Merismopedia glauca;5.33
Merismopedia punctata;3.77
Merismopedia spp.;6.28
Merismopedia angulosa;6.28
Merismopedia elegans;6.28
Merismopedia tenuissima;6.28
Microspora abbreviata;37.63
Microspora amoena;11.58
Microspora pachyderma;6.50
Microspora palustris;4.27
Microspora palustris var minor;5.15
Mougeotia a (6 -12u);5.24
Mougeotia a/b (10-18u);4.53
Mougotia a2 (3-7u);4.01
Mougeotia b (15-21u,korte celler);5.55
Mougeotia c (21- 24);10.71
Mougeotia d (25-30u);5.87
Mougeotia d/e (27-36u);4.59
Mougeotia e (30-40u);4.53
Mougeotiopsis calospora;4.86
Netrium spp.;4.57
Netrium digitus;4.57
Netrium interruptum;4.57
Nostoc parmelioides;7.14
Nostoc sphaericum;5.29
Nostoc spp.;7.02
Nostoc verrucosum;7.34
Oedogonium a (5-11u);5.84
Oedogonium a/b (19-21µ);7.57
Oedogonium a1 (3-4u);4.59
Oedogonium b (13-18u);7.73
Oedogonium c (23-28u);9.09
Oedogonium d (29-32u);10.87
Oedogonium e (35-43u);16.05
Oedogonium f (48-60µ);31.54
Ophrydium versatile;5.36
Oscillatoria limosa;39.10
Oscillatoria splendida;40.99
Oscillatoria tenuis;44.24
Penium spp.;3.60
Phormidium favosum;28.01
Phormidium heteropolare;3.40
Phormidium inundatum;35.81
Phormidium nigrum;8.22
Phormidium retzii;32.02
Phormidium tinctorium;52.77
Plectonema tomasinianum;17.60
Pleurocapsa spp.;6.66
Pleurocapsa aurantiaca;6.66
Pleurocapsa minor;6.66
Pleurocapsa sp1;6.66
Pleurocapsae polonicum;6.66
Protoderma viride;3.81
Pseudanabaena catenata;35.91
Pseudanabaena frigida;3.63
Rivularia biasolettiana;4.55
Rivularia haematites;8.75
Rivularia spp.;4.99
Rivularia 002 (uident);4.99
Rivularia beccariana;4.99
Rivularia borealis;4.99
Rivularia dura;4.99
Rivularia minutula;4.99
Rivularia sp1 (4u);4.99
Rivulariaceae uidentifisert;4.99
Schizochlamys gelitanosa;4.61
Schizothrix lacustris;4.35
Schizothrix lateritia;4.29
Schizothrix spp.;4.71
Schizothrix facilis;4.71
Schizothrix grå (gråskjed.1-2m,rund c);4.71
Schizothrix simplicior;4.71
Schizothrix sp. rosa;4.71
Schizothrix sp1 (1-2u,gulbrun skjede);4.71
Schizothrix sp2 (2-3u,blålilla skjede);4.71
Schizothrix sp3 (1-2u,3-6u,blågrå skjede);4.71
Schizothrix sp4 (hetropolar,grå/gul);4.71
Schizothrix tinctoria;4.71
Schizothrix, brunfiolett skjede;4.71
Schizothriz heufleri;4.71
Scytonema mirabile;3.37
Scytonematopsis starmachii;3.08
Sphaerotilus natans;22.28
Spirogyra a  (20-42u,1K,L);8.38
Spirogyra c1 (34-49u,2-3K,L,l/b>3,svart);7.11
Spirogyra d (30-50u,2-3K,L);19.18
Spirogyra sp1 (11-20u,1K,R);7.77
Spirogyra sp2 (30-38u,2K,R);19.18
Spirogyra sp5 (30-37u,2K,L,l/b>10,svart);7.75
Spirogyra sp6 (70-75u,2K,L);18.03
Spondylosium planum;5.76
Staurastrum spp.;3.05
Staurastrum longispinum;3.05
Staurastrum teliferum;3.05
Staurodesmus spp.;4.33
Staurodesmus convergens;4.33
Stigeoclonium tenue;21.64
Stigonema hormoides;1.87
Stigonema mamillosum;3.88
Stigonema minutum;3.30
Stigonema multipartitum;7.13
Stigonema ocellatum;3.34
Stigonema spp.;3.87
Stigonema mesentericum;3.87
Stigonema mirabile;3.87
Stigonema mutabilis;3.87
Stigonema ocellatum var.globosum;3.87
Stigonema robustum;3.87
Stigonema turfaceum;3.87
Stigonema variabilis;3.87
Stigonema tomentosum;4.43
Teilingia excavata;4.46
Teilingia granulata;5.16
Tetraspora cylindrica;4.67
Tetraspora gelatinosa;8.66
Tetraspora spp.;5.34
Tetraspora emarginatus;5.34
Tolypothrix distorta;7.71
Tolypothrix penicillata;5.20
Tolypothrix saviczii;4.44
Tolypothrix spp.;5.72
Tolypothrix lanata;5.72
Tolypothrix limbata;5.72
Tolypothrix penicillata (Plectonematype);5.20
Tolypothrix rivularis;5.72
Tolypothrix tenuis;6.45
Tribonema spp.;68.91
Tribonema regulare;68.91
Tribonema viride;68.91
Tribonema vulgare;68.91
Ulothrix subtilis;4.79
Ulothrix tenerrima;20.14
Ulothrix zonata;8.39
Vaucheria hamata;5.84
Vaucheria spp.;42.15
Vaucheria arrhyncha;42.15
Vaucheria aversa;42.15
Vaucheria borealis;42.15
Vaucheria terestris;42.15
Vaucheria uncinata;42.15
Vaucheria walzi;42.15
Zygnema a (16-20u);4.45
Zygnema b (22-25u);4.76
Zygnema c (30-40u);5.07
Zygogonium spp.;3.50
Zygogonium sp2 (10-11u l/b:2-3);3.50
Zygogonium sp3 (16-20u);3.50
Zygogonium tunetanum;3.50
Zygogoniumliknende sp1 (13-15u grenet);3.50
